Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Centro;1;0;0;15;800.0;390.0;20.0
Higienópolis;1;0;0;48;800.0;230.0;0.0
Cachambi;2;0;0;50;1300.0;301.0;17.0
Grajaú;2;1;0;70;1500.0;642.0;74.0
Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Copacabana;1;0;1;40;2000.0;561.0;50.0
Copacabana;4;3;1;243;13000.0;2000.0;803.0
Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0
Tijuca;2;1;0;110;1900.0;700.0;138.0
Olaria;3;1;0;68;1000.0;670.0;0.0
Tijuca;2;1;0;78;2000.0;700.0;0.0
Ipanema;3;1;1;125;7000.0;2100.0;463.0
Tijuca;1;0;0;48;750.0;772.0;25.0
Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0
Botafogo;2;1;0;76;2500.0;740.0;0.0
Copacabana;3;1;2;378;10000.0;2150.0;700.0
Copacabana;3;0;0;180;5500.0;1780.0;420.0
Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0
Leblon;3;1;0;110;3900.0;1500.0;120.0
Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0
Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0
Copacabana;4;1;0;244;5000.0;2500.0;4100.0
Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0
Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0
Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0
Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Humaitá;2;2;1;180;4000.0;2500.0;300.0
Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Centro;1;0;0;27;750.0;371.0;19.0
Ipanema;1;0;0;35;2000.0;650.0;75.0
Ipanema;1;0;0;38;1400.0;530.0;77.0
Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0
Península;4;3;4;267;18000.0;3100.0;400.0
Ipanema;3;1;0;87;3200.0;1305.0;217.0
Méier;3;1;0;90;1550.0;844.0;80.0
Vargem Pequena;3;1;0;53;1400.0;385.0;28.0
Botafogo;3;1;1;108;5950.0;1405.0;289.0
Maracanã;2;0;0;86;1800.0;600.0;82.0
Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Ipanema;3;2;1;150;8000.0;2400.0;0.0
Ipanema;3;1;1;140;7900.0;2900.0;500.0
Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0
Cachambi;2;0;0;60;1000.0;380.0;280.0
Leblon;2;1;1;80;3500.0;990.0;245.0
Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0
Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0
Vila Valqueire;2;1;0;45;800.0;280.0;14.0
Gávea;2;1;0;70;2800.0;680.0;98.0
Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0
Centro;1;1;0;37;1100.0;540.0;900.0
Cosme Velho;3;4;0;130;5500.0;1407.0;246.0
Bonsucesso;2;1;0;77;1500.0;740.0;0.0
Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
Todos os Santos;3;1;1;78;1450.0;630.0;73.0
Laranjeiras;2;1;0;54;2300.0;582.0;0.0
Jacarepaguá;2;1;1;69;2000.0;780.0;0.0
Ipanema;3;1;1;120;7000.0;1800.0;370.0
Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0
Itanhangá;2;1;0;60;1000.0;450.0;150.0
Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0
Humaitá;2;1;0;86;4000.0;1259.0;188.0
Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0
Tijuca;2;1;0;80;1800.0;1100.0;84.0
Tijuca;3;1;0;172;2700.0;780.0;170.0
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0
Ipanema;3;1;1;145;8000.0;14768.0;4394.0
Olaria;2;1;0;53;1100.0;160.0;0.0
Botafogo;2;1;1;83;2800.0;560.0;138.0
Botafogo;2;1;1;80;4300.0;1178.0;187.0
Lagoa;3;1;2;250;13900.0;2500.0;0.0
Leblon;3;2;1;147;7500.0;1028.0;247.0
Copacabana;2;1;0;67;3500.0;950.0;160.0
Ipanema;3;1;1;150;25000.0;1616.0;4255.0
Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0
Catete;2;0;0;77;2400.0;1130.0;140.0
Jardim Carioca;2;1;0;55;1350.0;430.0;47.0
Leblon;3;1;0;85;3900.0;800.0;1211.0
Catete;2;0;0;75;3350.0;455.0;0.0
Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0
Praça Seca;2;0;0;80;900.0;350.0;0.0
